Using 8 worker threads.
Speed: 4.098107 creatures/sec. Server status: 19:55:30: 1173x RT, 19.5 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=609.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 3.689180 creatures/sec. Server status: 19:55:30: 1173x RT, 19.5 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=609.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 3.799871 creatures/sec. Server status: 19:55:30: 1173x RT, 19.5 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=609.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 3.397665 creatures/sec. Server status: 19:55:30: 1173x RT, 19.5 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=609.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 3.577289 creatures/sec. Server status: 19:55:30: 1173x RT, 19.5 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=609.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 3.599643 creatures/sec. Server status: 19:55:30: 1173x RT, 19.5 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=609.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 1.499501 creatures/sec. Server status: 19:55:38: 620x RT, 10.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=517.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 1.699690 creatures/sec. Server status: 19:55:38: 620x RT, 10.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=517.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 1.696481 creatures/sec. Server status: 19:55:38: 620x RT, 10.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=517.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 1.799561 creatures/sec. Server status: 19:55:38: 620x RT, 10.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=517.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 1.792169 creatures/sec. Server status: 19:55:38: 620x RT, 10.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=517.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 1.784781 creatures/sec. Server status: 19:55:38: 620x RT, 10.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=517.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 1.599138 creatures/sec. Server status: 19:55:38: 620x RT, 10.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=517.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
